They do to!	They do not!
That's what you said before.	I know. Goodbye.
When did you think it would happen?	I'm not sure.
I'm not sure.	I knew when I first met you.
End of Church Street. Next to a grocery store.	Doesn't it have a name?
Who is thin?	Who is this?  It's Tom.
Who is this?  It's Tom.	I don't know who you are.
Who is this?	Tom. You remember?
Tom. You remember?	I'm not sure. Where?
They said go see the chaplain.	I'm sorry but I have to go.
I'm not sure...	I'm forty-six. Do you like to go up or down?
You sound different. Is that really you?	It's me. What is it?
Eight-thirty in the chapel.	I'll be there.
Are you sure you know what you're doing?	Hundreds of times.
What National TV...?	You're doing some recording here, aren't you?
We just got a gold record.	Do they have a show to give it to you?
How long have you been together?	Probably a little too long.
Probably a little too long.	Do you study at all?
Do you study at all?	Depends on what I'm studying.
You go to school together?	No, we never did that
He ain't really new.	He is to a lot of people.
You always live there?	Spent time in Arizona. Why?
I know a couple.	No kidding -- Wait till I tell Linnea. Who?
No kidding -- Wait till I tell Linnea. Who?	Ah... Peter Finch.
Peter Finch -- he's English.	I never heard of him. Name somebody else.
Well -- maybe. Let's see what happens here.	I'll be dammed.
You sure do it loud.	Is that good?
Is that good?	It's not bad.
It's not bad.	You think I should take lessons?
You think I should take lessons?	If you're serious. Being serious is real important.
Wade -- I've been working toward this audition for years.	Well, honey, I sure hope it comes your way then.
Well, honey, I sure hope it comes your way then.	You think it will?
Oh, why thank you.	May I see your costume?
Point of fact, weren't Tim's hands registered as lethal weapons?	Yes, they were.
Yes you are.	What was the color of Tim's belt?
More or less.	More or less...
What kind of pies do you have?	Apple, pecan, cherry, and key lime.
Apple, pecan, cherry, and key lime.	Which do you recommend?
Which do you recommend?	The key lime is great, but it's an acquired taste.
The key lime is great, but it's an acquired taste.	I haven't had a key lime pie in ten years.
I haven't had a key lime pie in ten years.	When ya had it, did ya like it?
Are we in a big hurry?	You got something you want to do?
By all means, knock yourself out.	Thanks. Roll 'em, Donut.
Who is we?	The prison board and the doctors who examined them.
Because they wouldn't give them their blessing for marriage.	Ain't love grand.
You've heard of it?	So, how do I fit into this scheme?
There's a chocolate cream filled in there?	Yeah. Ya see, I ordered that special.
Yeah. Ya see, I ordered that special.	Tough titty, it's mine now.
Tough titty, it's mine now.	Look, I'll trade you.
How come you never talk?	She was born without a tongue.
She was born without a tongue.	Oh my God!  Sorry.
C'mon, c'mon, let's hurry this up.	So, what now?
We ain't got all fuckin' day!	Without any further ado, Mickey and Mallory...
Yeah, we have a van.	Where's it parked?
Donut, get your camera. See if it's broke.	Let me check on Scott. He's hurt bad.
I could go for a Coke.	Could I get a Coke for Mickey?
Okay...okay...I'll buy that. We'll move on and come back later.	I'm sure we will.
Says the United States of America.	When have they ever been right?
Then was it worth it?	Was what worth it?
So, Mickey, tell us what you do for fun.	Aside from the obvious?
Sorry about that.	Don't worry about it.
Don't worry about it.	We're about ready to go here. Are you ready?
We're about ready to go here. Are you ready?	Let's do it.
All right, Mickey.	Let's discuss it when I'm unbound.
Mickey, how do you feel about cross- examining Grace Mulberry?	I'm keen with anticipation.
She doesn't talk?	Not to anybody. She sings.
Not to anybody. She sings.	She sings? What does she sing?
How 'bout Ted Bundy? Ever do one on him?	Yes. Yours got the larger Nielson share.
Yes. Yours got the larger Nielson share.	Good...yuppie piece of shit.
Good...yuppie piece of shit.	What I'd like to do---
What I'd like to do---	How 'bout Manson?
How 'bout Manson?	Manson beat you.
Manson beat you.	Yeah, it's pretty hard to beat the king.
I can't go. I'm too fucked up.	I'm not saying it's not gonna hurt, but--
No fuckin' way!	Mickey, you're wasting time!
Apparently, they've seen all our films.	They were especially influenced by 'Conquering Huns of Neptune.'
They were especially influenced by 'Conquering Huns of Neptune.'	So, Mallory calls 911 and they took off.
So, Mallory calls 911 and they took off.	They actually apologized.
That's the Mickey and Mallory way.	That's the way of the world.
That's the way of the world.	They're shocking the world into remembering the primal law.
They're shocking the world into remembering the primal law.	Survival of the fittest.
Through the power of the simple word---	And a snake-eye glare.
He squashed him mentally before physically defeating him.	He had the edge. The mind's edge.
He had the edge. The mind's edge.	Mickey and Mallory have that edge.
Mickey and Mallory have that edge.	Only on a much grander scale.
Only on a much grander scale.	They've hypnotized the nation.
I admire them.	I do, too.
It's hard to say Capt'n.	Take a wild stab!
Take a wild stab!	I'll say enough to destroy this wing.
I'll say enough to destroy this wing.	The entire wing?
The entire wing?	That's my opinion.
Here's the layout of the laundry room.	Where do the air ducts lead?
How immediate is immediately?	Next week's episode.
Nothing for me. I'm leavin'.	Me, neither. I don't eat meat.
Waitin' in the lounge.	How 'bout Mallory?
How 'bout Mallory?	Coolin' her jets in a holding cell.
Are you all set?	Yeah. Bus is all gassed up and ready to roll.
Yeah. Bus is all gassed up and ready to roll.	I assigned you Bingham and Washington to go along.
What the hell happened to you?	You should see the other bitch. What time you got?
It's gonna be beautiful.	Super cool.  This is great stuff. How ya doin'?
Camera jam! I'm sorry Wayne. God.	Fucking dammit! Mickey hold onto that thought. Reload, quick!
See what I mean? It's a funny business, isn't it?	It sure is.
How 'bout that furniture plant?	Man, the darkest thing they got in there is Coca-Cola.
Give her a beer.	Thanks, Duff. You' a nice guy. Not like Frankie.
You think so, Frankie?	Hell, you got steady work.
Who's going to buy me a beer?	What's the matter, Doris? Business bad?
What's the matter, Doris? Business bad?	It sure is.
It sure is.	Everybody givin' it away free, huh?
Everybody givin' it away free, huh?	You gonna buy me a beer, Frankie?
You gonna buy me a beer, Frankie?	See Duff. He's the money man.
See Duff. He's the money man.	What d'you say, Duff?
That'll be thirty-eight cents.	You in a big hurry, boy?
Boy - you hear me?!	That'll be thirty-eight cents.
Want to keep your job, boy?	What d'you think?
I hear you're tryin' to organize this place!	I don't know what you're talkin' about.
I still don't know what you're talkin' about.	You a union man?
You a union man?	Used to be. On the railroad.
Where was that?	Walker and Williams.
Walker and Williams.	What did you say your name is?
What's the matter, boy? Never smile?	I'll smile when it's funny.
I said: Cut it out!	Don't start no trouble, boy!
They say your dad's 'round town.	'That right? I thought he was up North.
'That right? I thought he was up North.	People seen him 'round.
People seen him 'round.	Where's he at?
Where's he at?	I don't know.
She done moved to Detroit.	Ain't she goin' to take the boy?
Don't say much, do you?	Guess I don't.
Guess I don't.	Just so you do your work.
Well, he worked around.	And his age?
And his age?	I don't know. Forty-eight, I guess.
I don't know. Forty-eight, I guess.	Any other family?
Any other family?	No. Just me.  Me an' her.
No. Just me.  Me an' her.	Well, I guess that's all till tomorrow.
Well, I guess that's all till tomorrow.	Okay, thanks very much.
Have anything in mind?	No. What you usually say, I guess.
No. What you usually say, I guess.	Where was your father born?
Where was your father born?	I don't know.
Been over to the other mill?	Yeah, I been there.
You know, man, that guy was trying to be friendly.	That ain't my idea of friendliness.
Hard to get up in the morning, huh?	That's right. How' you doin', Barney?
Where're you going to go?	When I get set, I'll send for you.
When I get set, I'll send for you.	I don't think that'll happen.
Ain't you goin' to say something?	There's nothing to say.
There's nothing to say.	Well, that'll be the first time.
Duff, I love you.	Well, that don't do me one bit of good!
What d'you mean?	Nothin. Quit lookin' at me like that!
How come you don't hate their guts?	I don't know. I guess I'm not afraid of them.
I don't know. I guess I'm not afraid of them.	You were plenty scared that night in the car.
You were plenty scared that night in the car.	Just of getting hurt. They can't touch me inside.
No point fixin' it!	What're you going to do?
Man, we sure hit the jackpot fast around here.	What about your boy?
What about your boy?	How come you keep askin'?
How come you keep askin'?	I keep thinking about him.
I keep thinking about him.	Well, he ain't mine, so skip it.
Ain't that something?!  That's just fine, baby.	We'll be all right.
Don't look so scared.	You jivin' me?
You jivin' me?	Well, I haven't come around.
Like so. There you go. Okay, hit me!	I don't want to hurt you.
I don't want to hurt you.	Go on - hit me!
My kids want me to teach them.	Okay. Come on. Put 'em up!
What about them?	Am I as good as they?
Am I as good as they?	Hmmm - good coffee.
Hmmm - good coffee.	You didn't answer my question.
You didn't answer my question.	Baby, you're the best thing that ever happened to me.
Baby, you're the best thing that ever happened to me.	You still didn't answer my question.
You still didn't answer my question.	Well, if you don't know I can't tell you.
Everything you cook is good.	Duff - you know those women you used to know--
Smells like something crawled in there and died.	Oh really? I thought it was pretty good.
Oh really? I thought it was pretty good.	Come here, baby.
Is that so?	Yeah, that's so.
What about him?	He could live with us.
Don't call them that.	That's all right with me. Always liked kids.
I can see why.	Well, what d'you think?
How about it?	What happened, Duff?
What d'you mean?	Just what I said. Don't look so scared.
Okay, I guess.	I'll have some coffee, please.
What's he like?	I ain't seen him in a couple of years.
No. Women're always followin' me 'round.	I'm just going in to do my shopping.
I'm just going in to do my shopping.	Yeah, it's just a coincidence.
I'll see you later.	Come here, Duff. No point running away from coincidence.
Ain't your fault.	That's the way he is.
That's the way he is.	Yeah. It's just like I figured.
Yeah. It's just like I figured.	What d'you mean?
Look, Duff - if you're free, I'm not working tomorrow.	Sorry, baby. I'm goin' to Birmingham.
Sorry, baby. I'm goin' to Birmingham.	Just for the day?
Just for the day?	Goin' to see my kid.
Goin' to see my kid.	I didn't know you had one.
I didn't know you had one.	Yeah. Well, I do.
Yeah. Well, I do.	Are you married?
Are you married?	No, I ain't married.  Well, good-bye.
Why did you?	I don't know. 'Guess I belong here more than there.
I don't know. 'Guess I belong here more than there.	'Been up north?
What d'you mean?	You almost got into trouble back there.
You almost got into trouble back there.	I wouldn't have let you.
No, on the porch.	Oh yeah, and then what?
Hell, baby, I don't know what to say.	Good night, Duff.
Let's go, Duff.	Take it easy.
I guess it's hard working on the road like that.	Damn few places you can make eighty bucks a week.
Damn few places you can make eighty bucks a week.	I mean, you're kind of cut off, aren't you?
I mean, you're kind of cut off, aren't you?	That's fine with me. Keeps me out of trouble.
That's fine with me. Keeps me out of trouble.	How d'you mean?
How d'you mean?	Well, I don't get on so well most places.
Well, I don't get on so well most places.	I see. That beer made me dizzy.
Well, they seem just like everyone else.	Hell, baby, I bet you think we got tails.
That's pretty good for a preacher's daughter.	What d'you expect?
What d'you expect?	You know, baby, I can't figure you out.
You know, baby, I can't figure you out.	How d'you mean?
How d'you mean?	Why d'you come out with me? You slummin' or something?
You don't think much of yourself, do you?	Well, that's a funny thing to say.
Well, that's a funny thing to say.	You keep asking me why I'm here.
You keep asking me why I'm here.	Yeah, and you keep not answerin', too.
Yeah, and you keep not answerin', too.	I like a place with lots of life.
I like a place with lots of life.	How about another beer?
You work around town?	I'm a teacher.
I'm a teacher.	Went to college, huh?
Oh yeah? That's my home town.	Your folks live there?
Your folks live there?	No. My mother's dead.  You goin' back inside?
No. My mother's dead.  You goin' back inside?	Yes, aren't you?
Yes, aren't you?	No. Never had much use for hell-howlers. You goin'?
No. Never had much use for hell-howlers. You goin'?	My father's the preacher.
My father's the preacher.	Oh yeah? Well, I guess you got no choice.
Haven't seen you around, have I?	No. I'm new in town.
Thank you, Ma'am. That's fine.	You must be new in town.
You must be new in town.	I'll have me some of that punch there, too.
Well, it's better than windin' up like a bum.	What 'you signifyin'?
What 'you signifyin'?	I wasn't thinkin' about you, Frankie.
We was just leavin', fellows.	Let's go, Jocko. The man's got homework.
Just get her drunk.	How 'bout the key?
How 'bout the key?	I bet she's easy jam.
What's so hot 'round town?	Take it easy, Frankie.
What you gettin' all pretty for?	Why don't you relax, Frankie?
I guess you'll be making' some changes 'round here.	What's eatin' you, Jocko?
See you, Duff.	Yeah, see you in hell.
Couldn't get the words out before.	Better get him to a hospital.
Better get him to a hospital.	Didn't I tell you to beat it - huh?
I asked you somethin', boy!	I heard you.
I heard you.	Pretty good for a one-armed nigger, huh?
I said, I come to town with a girl.	Plannin' on getting married?
Wouldn't have known you.	Wouldn't have known you.
Wouldn't have known you.	What's on your mind?
What's on your mind?	Nothing. Heard you were in town.
Nothing. Heard you were in town.	Wanted a look at your old man, huh?
Wanted a look at your old man, huh?	Yeah. That's right.
She don't look no worse to me.	Don't do her no good to get banged like that.
Don't do her no good to get banged like that.	Don't do her no good to go into a tree.
Don't do her no good to go into a tree.	What did you say, boy?!
What did you say, boy?!	I said, she's in great shape.
No thanks, Lee.	It's just that I hate empty rooms.
Well, what're you going to do?	I guess I'll make me some trouble in that town.
I guess I'll make me some trouble in that town.	Going back, huh?
They'll run you out.	No, they won't.
No, they won't.	How 'you gonna live?
Don't be too hard on him.	Hell, I'm just like him.
Hell, I'm just like him.	I know he wasn't much of a father.
Come on, Pop.	Nothing you can do. Been like this for days.
Come back some other time, will you?	Yeah, sure. Good luck.
How often does he get like that?	Whenever he's got an edge on.
Whenever he's got an edge on.	How often is that?
So I been told.	It's for your own good.
I guess I'll rob a bank.	Don't you get smart with me, boy.
I guess I ain't.	Why? Don't you believe in the Lord?
Guess it's never been easy.	It's a changing time. Sit down, son.
How are you?	All right, son.
'Musta knocked her up.	What're you gonna get out of it, huh?
Well, if it ain't Duff!	How you doin'?  Hi there!
Why don't you guys buy your own?	'Oughta give up smoking, Jocko.
Yeah. All a colored woman wants is your money.	What d'you know about women, Pop?
What d'you know about women, Pop?	Well, I got married to one of them.
Well, I got married to one of them.	Hell, I didn't know you was married.
Hell, I didn't know you was married.	Sure. Got a sixteen-year-old girl.
I'll talk to the Mayor.	That'll make the folks very happy.
Got a thick feelin' here.	What's the matter now?
What's the matter now?	Better now.  Where 'you at?
Now you stay put!	I ain't drunk, honey.
I ain't drunk, honey.	Like hell you ain't!
He's your son.	Okay, boy, beat it.
Come on, Will.	What's the matter?! You mad at me?
Let's stay here, Will.	What's the matter?! It's a celebration!
We got any shots?	Bathroom. But he's nowhere near it.
How long's it been?	I'm still on my honeymoon.
Peter said you came to kill us. Is that true?	No. I only needed the code from you.
No. I only needed the code from you.	Then we would have talked, you and I.
What the hell is that?	Skeleton key. This opens the gates of Babylon.
I'm getting used to it. Where are we?	Straylight. Kitchen dock.
Can you get us into Straylight?	Gettin' in is easy. It's getting out I'm thinkin' of.
What are you doing in here?	The Elders, mon...
We did a pretty good job of pissing them off.	They're only guessing, but we can't take any risks.
You find out in exactly two hours and forty-five minutes.	I find out now.
You've got your orders.	This ain't Bangkok, chief.
Let's hope she doesn't expect me to swim upstream.	You see the couple up in the balcony?
That could work, but the timing will be a bitch.	You'll be linked during the entire operation.
Could be your A.I.'s calling card.	Did you trace it?
Did you trace it?	No, but it traced me.
You ran without us.	I cannot tell a lie. Sorry.
I know.  You ever work with ghosts, Case?	What are you talking about?
Why'd you do it, Armitage?	The disturbance in cyberspace... It's an A.I.
Thanks, but I was enjoying that dependency.	Good, because you've got a new one.
An odd selection, Mr Case.	I prefer distrusting you. It'll keep us honest.
You're pleasant tonight.	Always...By the way, you know that girlfriend you don't have?
I saw your girl yesterday.	I don't have a girl.
I don't have a girl.	No girl? Only biz, my dear artiste?
Ah, Herr Case. And how is the artiste tonight?	Fine, Ratz. Thanks.
Nothin'. Not a goddamn thing. What the fuck...	Dixie, you know how a ROM construct works?
Dixie, you know how a ROM construct works?	Sure, Kid. It's a firmware construct.
Sure, Kid. It's a firmware construct.	Okay, Dix. You _are_ a ROM construct.
Case... Yeah, Miami Joeboy, quick study. How you doing, kid?	Fine, Dixie. Fine.
Yeah. That was me.	Jesus Christ, Kid. Nobody's ever cracked Sukura.
Jesus Christ, Kid. Nobody's ever cracked Sukura.	As far as they know, that's absolutely true.
As far as they know, that's absolutely true.	Ya learned good. So, what's happening?
Ya learned good. So, what's happening?	That's a good question. What's the last thing you remember?
Four men. Babylon soldiers.	Can you walk?
Case, mon, you just tell me who not to kill.	The girl 3Jane. We need her.
We're doing fine. Take the next right.	This place empty as a tomb, mon.
Maelcom... Do you think there's a hell for computers?	All things possible in Babylon.
All things possible in Babylon.	Help me send this Wintermute motherfucker straight down into it.
What about the route to the core?	I'll get you there. Your problem is making it alive.
How's the ice?	One minute eighteen and counting. What about the access code?
You haven't got it?	I said, it's coming. Just get me in, man.
How much time you got left?	Less than thirty minutes.
Don't worry, Dix. I'm on a roll.	You'd better be, Bro. You better be.
Where the hell have you been?	We got problems topside.
You can make your move when it comes after me.	What are you talkin' about?
Wintermute could have infiltrated that machine. Reprogrammed him.	It's possible. The guy was a blank slate.
Bright enough to be dangerous.	That's pretty good cause he's only working with one lobe.
Can you take me to it?	Not unless you have an unreasonable fear of dying.
Who got you into this?	A guy who calls himself Armitage.
A guy who calls himself Armitage.	Never heard of him.
What about the mainframe's access code?	3Jane's the only person beside Tessier that knows the code.
Case... are you okay?	I don't know. I don't know...
My God... these people are insane.	Or a little self-indulgent to say the least.
We've still got to find the mainframe.	No we don't...
Is he going to make it?	Sure... Maelcom's a rude boy, right, Maelcom?
He projects with neural implants.	That's risky gear. It can drive you schizo.
That's risky gear. It can drive you schizo.	For Peter, that's a short trip.
Something exotic I hope.	Yeah. One exotic son of a bitch named Riviera.
Case... Are you alright?	Yeah... Yeah, I'm fine.
I'll be okay.	So... did you get a look at heaven?
I'll get the car.	They'll cut you down.
Case... it's four a.m.	I don't sleep much. You packed?
Molly doesn't need a spook suit to get in here.	Don't fuck with me. I don't want to hurt you.
Don't fuck with me. I don't want to hurt you.	It sounds like you.
It sounds like you.	Put the gun down, Case.
On a good run... yeah.	So you're a wire junkie.
I'm going in.	You're not ready yet. They said two days.
That's not going to help.	The way I feel, believe me, it'll help.
How soon is soon enough?	Couple of days. They'll examine you.
How long have I been out?	Almost two days.
Couple of months.	What about before that?
What about before that?	For someone else. Bodyguard. Courier... Whatever.
For someone else. Bodyguard. Courier... Whatever.	Then you don't really know who he is, do you?
Maybe something's onto him.	What's that supposed to mean?
Sorry. That's not gonna happen.	Then, fuck you. I'm gone.
His name's Armitage. He's very anxious to meet you.	Why should I want to meet him.
How are you at riddles, Peter?	What are you talking about?
Hey, where's your sweatshirt?	uhh, must have forgotten-
Sometimes I wonder what they talk about.	Yeah, I know.
Listen, I don't have any plans-- you want some help?	No Roger from op/ed?
Well excuse me.	"What about the ""Roaring Twenties"" or ""The 80's""?"
Hi. You're here for the sex talk?	Well. I like a man who gets to the point.
Josie! Josie, how'd it go? Did he ream you?	Yeah, but I'm okay. I've got some work to do.
Yeah, but I'm okay. I've got some work to do.	You need my help?
You need my help?	No, thanks--I'm doing this on my own.
Now this is cute.	That is lingerie.
So, you were a geek. Big deal.	Anita, remember espadrilles?
The girls threw them at me in the locker room.	Okay. That's bad.
"My own undercover feature - ""Written by Josie Geller""."	Jos - Maybe you should turn it down.
I'm concentrating on my career right now.	Do you own any colored underwear? Stripes? Anything?!
Guess who I did it with last night...	Roger in Op/Ed.
George! What are you doing here?	Just get in the van, Josie.
Oh-my-God. You totally ripped off my Malibu Barbie idea.	Uh uh. I'm Disco Barbie.
Hey Josie. It's Josie, right?	Can I just say--I totally love Ex- Lax.
He is totally crunching on you.	Do I want to be crunched?
That's your story!	You're crazy. I can't--I can't-no. No.
You're crazy. I can't--I can't-no. No.	It's got it all--sex, intrigue, immorality in the education system--
It's got it all--sex, intrigue, immorality in the education system--	He's my teacher!
Do you even know these kids?	They hid my car--
It's an expose on cafeteria food.	And you're leading with the terrible truth about cole slaw?!
Don't worry, I'll straighten all this out.	But I don't want it straightened out.
But I don't want it straightened out.	Geller, this is way out of your league.
You've done five of my ideas.	You know what separates us office flunkies from the reporters?
You know what separates us office flunkies from the reporters?	They don't have to be in the office Christmas show?
They don't have to be in the office Christmas show?	A flack jacket.
Well, excuse me for caring about words.	So. You and Roger in Op/Ed.
Oh my god.	Dude, you rock!
Hey Rob, what's going on?	I'm Rob's prom date.
Yes. Exactly. Major Rufus.	Thanks. And what are -
Thanks. And what are -	"Duh. Tom Cruise. ""Risky Business""."
Really?  Rob-, that girl is sixteen.	And a gymnast!
And a gymnast!	She's sixteen years old, Rob. That's totally and completely illegal.
Plus, if you quit you're no better than me.	Better than I...
Better than I...	That's the spirit!
Is that true?	Little known fact.
No, I mean, no big whoop.	I can't do this.
Do you remember high school?	It was a long time ago -
It was a long time ago -	Don't you remember what they called you?
This--this is a luau that sells packing material!	Someday this luau is going to be all mine!
That is so--weird that you name your car.	No it's not. Guys name their penises.
No it's not. Guys name their penises.	Okaaaay....  That car's going to bankrupt you.
Okaaaay....  That car's going to bankrupt you.	She just needs a new windshield wiper.
I told you you could write, Josie Geller.	I finally found my story.
Please. Please don't walk away.	I just can't look at you the same way.
"""Surprise!"" you were doing a story on me?!"	No, surprise, I thought you'd be--
So--have you thought anymore about Dartmouth?	Yeah, I have.
Well, are you here with anybody?	No, I'm alone.
Josie--you make a really beautiful prom queen.	Thanks. So do you.
Our penguin, right?	Do you think you'll find her?
Do you think you'll find her?	Yeah, actually I do.
Yeah. To watch the world go by.--	To put us back together again when we fall.
Thanks, Josie. This wasn't as bad as I thought.	When are you going to open your eyes?
When are you going to open your eyes?	I'm thinking when I'm home.
You have to say that. You're my teacher.	I shouldn't say that, because I'm your teacher.
You do. Seem to. Have passion. In the classroom.	You have to say that. You're my student.
You have to say that. You're my student.	I don't have to say that.
Oh right. The Spiderman incident.	You remember that story?
You remember that story?	Of course. I remember everything from your class.
So what are you thinking for college?	College. Haven't really thought about it.
College. Haven't really thought about it.	That's crazy. I'll get you some applications.
You like her?	I love the way she writes.
You ruined the whole thing!	You so do not deserve to be prom queen.
Josie, you look Rufus.	Who are you guys?
We'd love to transition a gay guy into the group.	We're very evolved.
Good. Gibby gave me champagne.	Maybe we should sit.
He <u>has</u> to know...	Everybody knows about--
We followed your instructions.	We went through the door...
Not at all!	We can handle it.
But I have to go out. Something's happening out there.	Whatever it is, it's none of your concern.
What trail are you trying to throw me off now?	Nothing.  W-w-what are you talking about?
You'd better be quiet, Sandy.	Maybe he doesn't know...
Help me with this thing!	It's not the gas, Dad!
It's not the gas, Dad!	Don't tell me it's not the gas!
Where are you going?	Just out for a while.
Just out for a while.	I told you I want that room unpacked.
I told you I want that room unpacked.	Oh, come on Dad...
Oh, come on Dad...	No.  Upstairs.
Dad's fixin' something again.  Hit the deck!	Don't be a smart ass.
You got your room straightened out yet?	It's getting there.
I love you, Jesse.  Come back to me.	He's dead, you bitch.
There is no Jesse.  I'm Jesse now.	I want him back.  Jesse, talk to me. Jesse!
Oh, God, Jesse - I know you're there! Stop him!	Jesse's dead, Lisa.  Freddy's here.
Look, I don't care if you believe me or not...	I believe you.  You had some scary dreams, okay?
What are you doing here?	You gotta let me stay here tonight, Grady.
You gotta let me stay here tonight, Grady.	Are you nuts or something?
You're wasting your time, the guy's a basket case.	Shut up, Grady.
You remember your dreams, Grady?	Only the wet ones.
Schneider shouldn't have called you out on that double.	Yeah, well, Schneider's got a stick up his ass today.
Yeah, well, Schneider's got a stick up his ass today.	Schneider's always got a stick up his ass.
You hit that ball pretty good, Walsh.	It was okay.
It was okay.	Who told you to choke up that way?
So, what about you and that Poletti girl?	What about it?
What about it?	You two got a thing going, or what?
You two got a thing going, or what?	She's a neighbor, I drive her to school.
She's a neighbor, I drive her to school.	She giving you any carfare for the ride?
She giving you any carfare for the ride?	You got a problem with me, Grady?
You got a problem with me, Grady?	Naw. Just killing time.
he's just waiting to take me.  When I sleep.	Who?  Who's doing this to you?
Jesse, God - what happened?	I killed him!  I killed him!
Why won't you talk to me?	Will you leave me alone?  Please.
You should eat something - you'll feel better.	I'm not hungry.
Will you stop and tell me what's wrong?	I'm fine.  Nothing's wrong.
yeah, I had a bad night.	You want to talk about it?
What is it?	I don't know - a sharp pain.
About not finding any bogey men?	I'll get over it.
I feel like a jerk.	Shhh.  Just concentrate.
Any ghosts in here?	C'mon, cut it out.
C'mon, cut it out.	Well, what am I supposed to do?
Well, what am I supposed to do?	I don't know.  Concentrate or some- thing.
So, you feeling anything?	What do you mean?
What do you mean?	I thought you might be able to make a connection.
I don't know.  Where are we going?	It's a surprise.
Look, you got electricity in your body, right?	Yeah, I know...synapses neurong...
I don't know - into the air I suppose.	Make a left at this corner.
What's all this.	Research.  Hi.  C'mon, let's go for a ride.
No. Never.  You think that's what it is?	I don't know.
I think it's sad...	Traumas of a ten-year old.
You know her?	Uh-uh.  Before my time.
You shouldn't be fighting with that jerk.	Who, Grady?  Grady's alright, he's just a hothead.
Who, Grady?  Grady's alright, he's just a hothead.	You mean a shithead.
Yeah, yeah, sure.	Let me look at your eye...
Hi!  You didn't have to wait.	That's okay, I wanted to.
Aren't you afraid somebody could steal your car like that?	Look at this car.  Are you kidding?
Jesse, please, let's talk about this!	I'm okay.  Just leave me alone.
Maybe we should call a doctor.	No.  I'm okay.
So, school going alright?	Okay, I guess.
All of them.	Yor dad picking the music again?
Yor dad picking the music again?	Mom's trying to keep him upstairs.
We're gonna stay out of your way tomorrow night.	You're going out?
You're going out?	We're going to bed.
Kristen specializes in strangeness.  I've spent thousands on psychiatirists.	Did she always have nightmares?
Did she always have nightmares?	They've gotten worse since I took away her credit cards.
I'll need to take her things.	The maid packed a suitcase.  Teresa!  Teresa?
The maid packed a suitcase.  Teresa!  Teresa?	I'll get it.  Please, I don't mind.
I'll get it.  Please, I don't mind.	First door up the stairs.
Can we talk?  Just for a minute?	Can't it wait till morning?
Can't it wait till morning?	Please Mom?  I just don't want to be alone.
What are you still doing up?  It's past one.	I thought I'd wait for you.
And you don't want to keep him waiting.	That's right.  I don't.
Menthol, regular, ultra-light.	They're healing up nicely.
Good morning, Jennifer.	Morning, Doctor Goldman.
Morning, Doctor Goldman.	How's your hand?
If you get caught, I never saw you. Deal?	Deal.  Thanks.
Oh, right.  You're gonna be a TV star.	Wait and see.
You didn't think we'd let you go alone?	No fuckin' way.  We're a team.
I know who's trying to kill you.	Don't fucking humor us.  We're not in the mood.
Do you still...see each other?	Yes.  I'm going to see her tonight.
To old friends.  And your new dreams.	To old friends.
Are you okay?	I think so.
Joey needs us.  I can feel him.	How do we find him, Kristen?
You did it the other night.	That was different.
We're not always as good at things as we'd like.	Yeah, but I was really not good.
You pulled me in somehow, didn't you?	I -- I think so!
What are these, beauty marks?	Those are ancient history.
Hi, sweet stuff.  Good news.	Can't be good news coming from you.
Can't be good news coming from you.	Pulled night duty.  Trimble's sick.
I don't know...	It'll be my last chance.  Pleese?
Max, where's Kristen?	She's been waiting outside your office since breakfast.
This is Phillip.  We call him The Walker.	Why is that?
Assuming your mysterious nun in right.	I've heard crazier things this week.
Who would know where they were hidden?	There's only one man...and its time for him to talk.
We can try again.	Everybody take five.
You sound like Peter Pan.	Remember -- open mind.
Remember -- open mind.	Okay, we're going to try a little group hypnosis.
This is nice.	Never been here before?
Never been here before?	Must have opened while I was away at school.
Sounds like a rough time.	It was.  Neil, do you believe in other realities?
It was.  Neil, do you believe in other realities?	I've been to Pittsburgh.  Does that count?
Didn't get much sleep.	Well, we've got --
I've had some experience with pattern nightmares.	So I've been told.  Practically an obsession of your.
So I've been told.  Practically an obsession of your.	Call it a passion.  I've got to get going.
I wouldn't be so sure they haven't.	What's that supposed to mean?
Okay, straight talk only in here.	What about Kristen?
What about Kristen?	We can't get to her.  I've tried.
What'd you do, take the scenic route?	Sshhh.  No time for that.  Come on.
We'll begin sedation tonight.  Starting with him.	You can't!  They'll be defenseless against their dreams.
Somebody else is out here.	No.  We're alone.
We've got work to do.	What are you talking about?
How do we get in?	They used to keep a spare key.
You said something before...about laying him to rest...?	You must find the remains...and bury them in hallowed ground.
You do volunteer work at the hospital?	I come from time to time.  When I'm needed.
Why is he after us?	Yeah?  What did we ever do?
Doesn't count.  You gotta say the words.	This is stupid.
What do you think of the guinea fowl?	I'm a vegetarian.
I wonder if you could tell me where the...?	Oh, it's just down the corridor on the right.
And may I say that's a gorgeous tie.	Now you're lying.
Wait a minute.  What about me?	I'm sorry?  You think you deserve the brownie?
I'm sorry?  You think you deserve the brownie?	Well... a shot at it.
'Tomorrow will be soon enough.'	And then I... right.
God, that's an enormous arse.	I'm not listening.
So tell me Anna -- what do you do?	I'm an actress.
I thought I'd give it to you.	Thank you.  Shall I...
Thank you.  Shall I...	No, don't open it yet -- I'll be embarrassed.
Absolutely -- you're clearly very busy.	But... wait... there are things to say.
