Well, thank you.	You're late again.
Yeah, I can't believe he actually bought it-- "Great-aunt Birgit.	" What? But you called it.
If you would, note the time on that.	Three hours after leaving my office.
He bought a Mercedes SL550.	He's actually leasing it, but he put 4,500 down.
I called her last night.	I told her I was spending the night at Louis'.
I wish I could take back last night.	It was your birthday.
My father died when I was 6.	You knew that, right? Yeah.
She would talk about him all the time.	I knew about his personality, how he treated people.
I knew things about my father.	I had a lot of information.
Oh, there was this stench of Lysol and bleach.	You could just feel it coating your lungs.
Anyway, there, lying on the bed, is my father.	He's all-- He's all twisted up.
At least last night you were-- you were real.	You know? Bye.
Okay? Yeah, thanks, Tanya.	Okay, you bet.
Oh, thank you.	That's-- gosh, that's-- that's wow.
Guess someone's looking out for me.	I guess so.
Is that yours outside? Oh, yeah, you know.	Can't be driving a piece of crap to customer meetings.
You've got to present that successful image.	Yeah, right, right.
So the IRS stuff-- that's resolved? Yeah, it's in progress.	So you paid them? Well, not yet, but I will.
When? Well, it's not that simple.	Um, here's the thing.
No, it doesn't.	I'm telling you, you need to drop this.
This is your new employer.	You address him as Don Eladio.
Welcome to Mexico.	Now you say "Muchas gracias a usted, se�or.
Are you still with us?  Go.	Get us out of here, kid.
Do you understand? I quit.	I just told you.
I'm just curious what the next move is.	Our next three moves is sitting here and waiting.
Yeah, well, not a lot happening Stateside.	I'm hearing rumblings about some big play down south.
Lots of bodies, apparently,  even by cartel standards.	We'll know more when the buzzards leave the bones.
Dumb Okie bastard.	Had his car repo'd playing scratch-n-wins.
He's fine now, you know.	He got help and all.
How do you know all that?  Jesus.	He thought of everything.
It's time to go.	What about Mike? With his injury? No.
Unfortunately, only one way north.	Six miles to Texas.
You gonna make it? Six miles is pretty far.	I'll make it.
You did well down here.	And you also proved a point.
I think you can run the lab by yourself now.	Don't you? Let Mr.
Come on in.	First, I want to tell you that I get it.
It feels wrong.	It feels wrong? - To me, it does.
No one's going to prison.	Oh, my God.
Let's say I take your advice.	I pay the IRS.
But I still owe the bank, Skyler.	I'm still gonna go bankrupt.
I'll lose my business and my home.	I still have to pull my girls out of school.
Don't twist my words.	This isn't about amounts.
This is about me doing the right thing.	Ted, are you blackmailing me? - What? No.
I don't want you to pay me, Ted.	I want you to pay them.
But, Skyl-- Try it again.	Write a new check.
Saul Goodman, please.	Tell him it's important.
It was just you and Joaquin.	He was the only family you had left.
Now the Salamanca name dies with you.	Will you look at me now? Look at me, Hector.
It's not far.	Just turn right here.
Sounds like a real shit in the dark	I mean, you said it yourself.
Well, look at you.	You lose your hair, you go on a couple stakeouts.
Just turn in there.	Well, slow down.
You gotta turn there, Walt.	Walt, what are you doing? You just missed it.
I thought you meant further up.	Just bang a U-ie over here.
Frozen yogurt does taste the same.	Tastes exactly the same.
Weigh in here, Uncle Hank.	Hey, it's free food.
Free food always tastes good.	Free drinks even better.
Anyway, hanging in there.	Glad you stopped by.
Listen, I'm-- I'm sorry about all this.	That guy-- he just came out of nowhere.
Yeah, actually, he didn't.	I saw him coming a mile away.
Your Hardy Boys routine is over.	No more asking him to drive you on stakeouts.
It's too dangerous.	You hear me? - I'll do it.
It was a bit shortsighted of me.	That's why I caved.
Caved? I broke down.	I ordered me a gimp-mobile.
It's a regular Tahoe.	It's got hand controls.
I ordered it.	It should be here in about a week.
Car wash business.	Hey, it's me.
He doesn't own a	At least not one that he bought legally.
It's gonna be fine.	I've got my A-team on it.
Huell? Who's Huell? This is Huell.	Huell, you happy? Reasonably.
Beneke wouldn't care for that? I'm gonna say no.	Well, there you have it.
Let's go find your checkbook.	Ready? Here we go.
So, the amount's gonna be for $617,226-- Whoa, whoa.	I don't have anywhere near that kind of money.
Phone-call time is over.	This is check-writing time.
This is crazy.	Skyler would never do this to me.
Sit down and write! There you go.	$617,226 and 31 Yeah.
Everything else has been filled out for you.	All's we need is a signature right there.
Here's what happens next.	Huell's gonna hang here with you.
Someone cooked here.	You've been out of commission four days.
Look at-- - Ooh, yeah.	- 101 backflips I did.
Oh, you're in trouble.	Mama's in the house.
We need to talk.	I got nothing to say to you, man.
Just one minute.	That's all I ask.
Stay away from Pinkman.	Do not go near him.
But he'll come around.	In the meantime, there's the matter of your brother-in-law.
He is a problem you promised to resolve.	You have failed.
I will kill your	I will kill your
Perfect, you know.	This is just I told her you were my A-team.
It was an act of God.	Ain't no accounting for no act of God.
Check's in the mail, at least.	Oh, hello, Mrs.
I need this man now.	Saul! Now, Saul! Yeah, yeah.
You're a high-risk client.	You're gonna need the deluxe service.
But you got four people to vanish.	It's gonna be at least half a million.
And he accepts cash only.	I've got the money.
Now come on.	Please! - Here.
But you gotta bring the money.	He doesn't lift a finger unless he's paid in full.
They know me.	They know my voice.
They'll know me.	Please, you gotta do it for me.
My brother-in-law doesn't deserve to die because of this.	There's no way I'm mentioning Gus.
They're coming back to finish the job that they botched.	You say whatever you have to say.
No, no, no, no.	Where's the rest? That's not enough.
For us, for the family.	I swear, Walt.
You've reached the White family.	Please leave a message.
It's happening again.	The DEA called.
You know that won't work.	Then you've got a problem.
I've got nothing to say to you, man.	I will kill your
I will kill your	I will kill your infant
You're gonna get new social's, new identities.	It's gonna cost you.
I've got the money.	Now I need you to call the DEA.
Gus has a hit out on Hank.	Where is the money!? I gave it to Ted.
How many? - Four.	Nelson Brey, three others.
Skyler-- Skyler - What? - I'm not going.	What? I'm not going to Hank and Marie's.
I'm not going anywhere.	But you said we're in danger.
Yes, that's true.	Because of me.
I'm the real target.	But we'll all be safer at Hank's.
That's-- - No, no, no.	No one will be safe at Hank's if I'm there.
Walt, it's DEA.	Skyler, you don't know these people.
I-- - No, Skyler, please, trust me.	This is how it has to be.
You'll figure it out.	Hank knows that Marie will be overreacting.
Except she's not.	I'll talk to Hank.
All right, buddy, take care.	Shh, shh, shh, shh I know.
He's going to get his behind here immediately.	End of story.
Because we are all in danger here.	We are not all in danger.
Will you stop saying that? That is asking for trouble.	Oh, come on, Walt.
It's a perfect spot for a meth superlab.	Oh, my God.
Hey, I'm Steve Gomez.	I'm with the DEA, Drug Enforcement.
What, is there-- there a problem? Not for you.	No, no problem.
We're just wondering if we could take a look around.	I, uh-- Can I tell you a story? - Yeah.
I don't want to do this stuff with you.	I-I know, I know.
You don't have to say it.	I'll say it for you.
All right? Hope I made myself clear about that.	Call me as soon as you can.
I don't know if I'm speaking English here-- What's up?	He's waiting for me, yo.
Hold up, hold up.	The hell, man? Get off of me!
Hey, Goodman! Get out here! Get--  Hey!	Yo, get your goon off me.
Sorry, you can't be too careful these days.	Come on, come on.
Nothing, huh? Clean as a whistle, so he says.	You have reached Walter White.
It's me again.	I really wish you'd pick up.
He was fine this morning.	He was fine.
I'll be out here if you need me.	Go, go ahead.
No no Come on.	No! No, No.
Andrea! Andr-- Hey, hey, hey, no yelling.	Andrea-- I need-- - We can't have you back here.
No, I need to talk to her.	All right? I need to talk to her.
You two, just take this outside.	Would you please-- Brock is sick in here.
Come here-- Here.	Jesse Jesse, what is it? Jesse, I can't go.
What-- I'm-- I'm thinking Brock may have been poisoned.	Okay? What? There's this stuff, this stuff called ricin.
It sounds like "rice.	" You need to tell the doctors about it.
I'm sorr-- I gotta go.	Just tell them.
Let me in.	I don't know what you're thinking coming here.
All I know is it's going to happen.	And I'm powerless to stop him.
What else could I do? No.	No, you son of a bitch.
You know what you did.	Okay, look, just-- just put the gun
There's no way Brock took it himself.	Jesse, you're not thinking clearly.
What? - Yeah.	Yeah, I went to his office.
He called me and just had to see me today.	His big man-mountain bodyguard patted me down.
Just admit it.	Admit what you did.
Just listen to me.	Listen to me.
Listen to yourself.	No, he has known everything all along.
You are everything that he's wanted.	You're his cook now.
Do it! Do it.	I'll do it.
He'll see you coming.	You'll die before you get anywhere near him.
Oh, Jesus, Mr.	Pinkman, I'm not going to keep telling you.
Unless the family wants you in there, you're not allowed.	You can't keep coming in here like this.
You hear me? You understand? Mr.	Pinkman, I'm going to call Security.
All right, here we go.	Come on now.
I already told you.	I'm not going.
He'd like to speak with you.	I told you, I'm not leaving.
I can't be away.	I don't even want to be here now.
He was poisoned.	How did that happen? The doctors-- they don't know.
This current batch is surely ruined now.	Correct? Stay with the boy.
There you are.	There you are.
No, don't go.	Don't go, don't go, don't go.
Oh, sh No.	As is your grandson.
Gus! - I'm gonna kill	Then let me help.
Well, maybe-- Excuse me.	Jesse Pinkman? Uh, yeah.
Am I under arrest? No, you're not under arrest.	We're just talking.
Yeah, you know, like House or the Discovery Channel.	Sometimes your brain just makes these connections.
Look, I've got to get back.	But we're still talking.
So I'm not under arrest, but I can't leave.	So, then, I guess I should call my lawyer.
Right? I mean, you know.	You've been around the block, Jesse.
I need him right now.	So you break into the place.
Let me explain something to you.	My partner and I-- - Are in danger? Whoop-dee-freaking-doo.
Now, I apologize profusely.	Please, the phone number.
I'll be right back.	Yes, Albuquerque, New Mexico.
Okay, I'll await your call.	Thank you so much.
That's a relief.	I owe you one, big time.
Tell us what you know.	I told you what I know.
He's a wordsmith.	Well, Detectives, it's been a pleasure.
Now, up you go.	Make like you've got manners.
Make like you respect the rule of law.	Au revoir, auf Wiedersehen, hasta luego, get the hell out.
Pick it up.	Follow your partner.
I've been thinking.	And? Casa Tranquila.
Old guy in a wheelchair.	Um, doesn't talk, rings a bell.
That's number 3 in your B column, followed by O-74.	That's O-74 on the other side of your card.
Now we have that lucky number-- B number 7.	Is it lucky for you? B-7.
Those Ns just keep coming.	They're all sticking together.
I am offering you an opportunity for revenge.	Column 4-8, the continental United States, excluding Alaska and Hawaii.
Okay, I'm here.	How you doing this morning, Mr.
Okay, here we go.	A-E-I-- Row I.
I-J-K-L-M-N-- First letter-- N.	A-E-- Row E.
E-- Second letter-- E.	A-E-- Row E.
E-- Next letter-- E.	A-- Row A.
A-B-C-D-- Next letter-- D.	A-- Row A.
A-B-C-D-- Next letter-- D.	A-E-- Row E.
A-- Next letter-- A.	A-E-I-O-U I don't think we're finished, Mr.
Help me out here.	Hey, son, what's up?
When exactly are you getting here?	Uh, just as soon as I can.
Let me talk to him.	No, son, I am taking it very seriously.
Walter? Did you hear what he said? Get over here.	No more excuses.
And thank you for all of your help.	Huh? Anything? - Hi, everyone.
Come here, look at this.	Jesus, enough with the laundry.
This place has two of them.	All right? That's a whole lot of juice, brother.
What do you say? Pop over, have another look-see? Listen.	I think we possibly have a lead on something.
Yeah? I have this guy down at the office.	He says he has some kind of information.
Why? Well, he's the guy.	His nurse calls us, says he wants to powwow.
That's all this is.	That's what we thought.
His nephew's gone.	Doesn't have anybody.
Hank, thanks for coming down.	No problem at all.
First letter-- S.	A-E-I-O-U-- Second letter-- U.
A-- B-C-- A-E-I-- J-K-- A-E-I-- J-K-L-M-- A-E-I-O-U-- Row U.	V-W-X-Y-- All right, that's enough.
I am-- I am-- I am just so, so sorry.	Well, at least this time he didn't shit himself.
We may have a problem.	I've got eyes on the DEA.
Why? What happened? Tox screen came back.	No ricin poisoning.
Surprised, huh? No, why should I be? Your jacket.	Till we meet again.
Hey, yo! Yo! Right here.	Hey, Andrea, I'm just checking on Brock.
No wires, no camera, no surveillance.	A police cruiser rolled through about an hour ago.
Maybe it's better if-- if I do this myself.	I do this.
What kind of man talks to the DEA? No man.	No man at all.
A crippled little rata.	What a reputation to leave behind.
You heard of that place.	We've got very few details on it so far, unfortunately.
Coming up on Coyote 102.	5-- Aerosmith, Def Leppard.
Keep it right here on New Mexico's finest rock.	You wanna cook with a broken arm? Next step, CO2.
We've got work to do.	Uh, he's going to pull through.
Oh, thank God.	You know, still saying it wasn't the ricin.
So Gus didn't poison him after all.	Still, he-- he had to go, right? You're damn right.
Gus had to go.	Um, you know, I should-- I should get back.
Jesus, Walt, the news here.	Gus Fring is dead.
Skyler White sent you? - Just checking writing times.	Brock how is he doing? He just keeps getting worse.
He's not safe.	He was poisoned.
It wasn't the ricine.	It was the lily of the valley.
What about Mike? With this injury? No travel.	We've got work to do.
Here you go.	What happened there? It's my birthday.
Yeah? Well, Happy Birthday.	Birthday meals are free at Denny's.
Free is good.	Even if I was, like, rich, free is always good.
I want to say I liked it.	They got this really big aquarium.
My name's Lucy.	I'll be your server.
It's in there.	Good luck, I guess.
Fring? Um, he knows.	I-- Welcome home.
Yeah, yeah, I want to.	Just-- just give me a couple minutes, huh? Hi.
Oh, daddy missed you so much.	Yes, he did.
What do you figure that was? I don't know.	Some kind of lab equipment? Maybe a camera? Come on.
You be nice.	Just be nice.
Let Wendell in there.	If Wendell doesn't eat, nobody eats.
Mike, wait a minute, all right? Let him talk.	"Let him talk.
" I am done listening to this asshole	Now get out of my way.
What is it with you guys? Honest to God.	May I? Look.
Whatever differences you and I have, they'll keep.	Right now we've got bigger fish to fry.
He kept it at the back of the restaurant.	It all fed straight to there.
What? Keys, scumbag.	It's the universal symbol for keys.
It's money out of your pocket.	It's money out of my pocket.
End of story.	APD, Northwest area command, on 2nd.
I am doing something.	He's good with this stuff.
Just give him a chance.	Now, you look.
Nursing home full of old folks just whet your appetite.	Now you want to kill a bunch of
I've never said anything about kill	I am, however, considering the possibility of a device.
Say this device gets filed into evidence.	Now, it is inside that room.
Yo, what about, like, a magnet? - An incendiary device.	One quick fire is all it would take.
My wife-- There's an IRS issue anyway.	I'd appreciate it if you could spot me my share.
Do you remember Sergeant Schultz? "I know nothing.	I see nothing.
And it's-- - Oh, Jesus.	What incident? An act of God.
There's no right.	There's no wrong.
I mean, it just-- that's the best phrase.	It fits, but we got a problem.
You high? Mix blood with chuntaros? - No way.	Well There's no need.
We got enough.	Hitters ain't the problem.
Oh, all right.	Well, I'll get out of your hair.
Or-- or we could order Chinese? - Sure.	There you go.
Sounds nice, being out in the woods all day.	Nah, it wasn't so great.
I got sunburned.	There were mosquitoes.
Been thinking about that job more and more lately.	Maybe I should've enjoyed it more.
Tagging trees is a lot better than chasing monsters.	I used to love to go camping.
Come see your brother.	There you go, sweetie.
Let's go see your brother.	Let's get him.
Come here, my baby girl.	You're gonna be a handful, aren't you? Yeah.
It's nice to see you smile again.	I mean, you seem good.
You know that.	It goes without saying, we love having them.
I gave up counting it.	I mean, I had to.
It was just so much, so fast.	I-- I tried weighing it.
Walt I want my kids back.	I want my life back.
Um, I-- I hope I'm not disturbing you or anything.	I tried calling, but, uh-- Yeah.
And you didn't answer your home line, so-- It's disconnected.	Oh, um, unplugged, I mean.
You, uh, didn't wind up moving, I see.	Didn't have to.
Saul told me what you did.	Anyways, uh, I'm not in jail.
You aren't either, so there you go.	There was no other option, Jesse.
It had to be done.	I'm not coming back.
I I saw a Bounder the other day.	Bounder? - Yeah.
Oh, you saw the same one as ours? Yeah.	Well, within a couple years, I guess.
A much nicer paint job.	No bullet holes in the
You know, like color - Yeah.	I don't know.
Did you have a coin collection? I had coins.	have the time to do hobbies.
Coins and baseball cards.	Those were the ones.
Stiff what? - Hey, hey.	I was interested to see you get into that.
Borage oil is supposed to be good.	It's like chemistry.
I like your style.	There is no Christmas.
I vote yes.	I second that.
Anybody, uh-- anybody want anything? Want anything? No, I'm good.	I'm good, thank you.
How's she doing? - She's good.	I used to have that halo.
Oh, my God, Skyler.	Okay, I'll take the pink one.
I hope it's not something you ate.	No, no, I just We have Pepto, Uncle Hank.
I have plenty of help.	And by that, she means me.
That is correct.	Holly can help.
Let's go say good-bye.	Let's go send them on their way.
Say, "Bye, Auntie.	" Bye, sweetie.
I can't believe it.	Were you there when she said that? - Yeah.
Oh, she was talking about it.	It sounds like it's-- We need to go to Europe.
It'd have to be, like, a business trip, you know.	It could, um-- We could go to Italy.
To, um, Lake Como.	It's "Como," right?  Hank.
Call an ambulance! Call an ambulance! Okay.	You okay? Just take a breath.
Oh, God, sweetheart.	It was an accident.
And do not tell Skyler.	What? Why? Just don't.
There's nothing to be embarrassed about.	Hank? _ _ _  Hola, Mariano.
Here you go.	There's complimentary coffee inside.
I do love that location.	I'll think about it.
Welcome to A-1.	Just the regular, please.
Well, there's complimentary coffee inside while you're waiting.	Have an A-1 day.
A week at most.	Call it a tutorial.
Get the ship back on course.	We'll make it worth your while.
Listen, this is a complicated situation.	There are a lot of moving parts.
None of which are my concern.	You're putting me in a box here.
You know what could happen.	Again, none of my concern.
There's your change.	And if you'll hand this to your car wash professional.
And have an A-1 day.	Listen-- - It'll only be a few more minutes.
There's some complimentary coffee, if you like.	What's up? Just wondering who washes a rental car.
I got it.	Have a good day.
We could give you a hand sorting through them.	No, I got it.
I gotta write it down is all.	The Enterprise is five parsecs out of Rigel 12.
They're eating tulaberry pies-- - Tulaberry? Tulaberries.	From Gamma Quadrant, yo.
That's Voyager, dude.	Okay, blueberries then.
Okay, Spock always wins these things.	How is Spock gonna brat Kirk, yo? Spock's like a
Look at Kirk.	He's got room to spare.
Spock has total vulcan control over his digestion.	You wanna hear this or not? - Yeah, yeah, go.
Just fill this out.	Bring it back to me.
Jesse Pinkman's out here smoking pot.	Give me a break, man.
Pinkman, he'll see you now.	Woody Harrelson, live and in person.
Pull up a bong and take a seat.	Hey, I'm kidding about the bong.
Don't be doing that.	Uh, sorry to keep you on ice out there, kid.
If I'd known it was you, well Francesca.	I've warned her before.
One more time, and it's back to the DMV.	So, uh, are we on our own today?
Barn door open.	"Barn door"?  Oh.
It's 2 1/2 million each.	A total of five.
, uh, who? Drew Sharp's parents.	Drew Sharp-- that's the kid on TV.
I mean, kinda.	But this--  This is a bridge too far.
Enough bullshit, Saul.	Are you gonna do this or not? Yes, yes, absolutely.
You've looked better.	Just get it done.
You know who this is? Don't hang up on me.	Yeah, there's a problem.
I'll handle it.	D�j� vu, huh? Jesus.
It's It's blood money.	I s--  Jeez.
Nothing can change what we've done.	But now that's over.
Mike is perfectly capable of looking after his own granddaughter.	I don't think so.
I don't think he is capable.	I don't think he's coming back.
Listen to me.	I did not kill
It's not true.	It's just not.
Wherever he is.	We both know that he can take care of himself.
Are they bringing in someone new? I don't know.	Um, maybe she'll be back.
] Really? Really.	So you're spared a night out with the family.
You do not have to look so happy about it.	I'll be right back.
He hasn't been to work all week.	Well, good night.
Listen, tell everybody more work and less worry.	We better hit it.
How are you? Good to see you.	How you doing? Very good.
It's back to 100%.	We're going to District.
It's gonna be exciting.	When? This Saturday? This Saturday morning.
See you, Walt.	All right, Scott.
Which reminds me.	I better get back to it.
Ugh!  - Hank-- - It was you.	All along, it was you! You son of a bitch.
You kill ten witnesses to save your sorry	Listen to me-- - You bomb a nursing
I'm sorry you feel that way.	I wanna brat this
I don't know who you are.	I don't even know who I'm talking to.
All along it was you! Hank, my cancer is back.	In six months you won't have someone to prosecute.
Mariano, it's me.	I need you to get Skyler on the line.
Where is she? Where's Skyler? She just kinda left.	She didn't say where she was going.
Skyler, my-- my head is spinning.	And yours I-- I can't even imagine.
I just wished I'd seen it sooner.	He's a monster.
You're done being his victim.	Because here's what we're gonna do.
His cancer's back.	So he said.
What? No, no, no, no, you don't.	I-- I think maybe I do.
Skyler, understand, I am here to help you.	But to do that, I need your help.
But you don't know that.	Skyler, yes, I-- I do.
What are you doing? Huell.	Hey, quit screwing around.
Mm, mm, mm.	Ah, screw it.
Guy hit ten guys in jail within a two-minute window.	All's I'm saying.
This was the third message.	Where the hell is that kid? That's her.
Can't believe she went to him.	She just panicked.
She went right to him without even talking to me.	Without a moment's hesitation.
Nothing? Hank knows.	That's not nothing.
You know, where, uh, where Mike went to.	Off on a trip to, uh, Belize.
I'm just throwing thoughts out there.	This is a safe room, right? Jesus.
Send him to Belize.	I'll send you to Belize.
And we don't mind overtime.	Ain't no thing.
Pay Huell and Kuby and take your cut.	The rest is mine.
No, no, please-- please don't tell me he isn't there.	I know he's been avoiding my calls.
Let me in.	Let me talk to you.
Tell me he doesn't know what he's talking about.	You gotta give me something, Skyler.
Anything to help me understand.	It can't be true.
And your whole gambling story.	That was a lie.
I Did you know then? You had to.	Skyler did you know since before Hank was shit? Skyler?
What are you doing? She's coming with us.	No, she is not.
Come and help.	You are not leaving this house with my daughter.
Give her back to me.	I'm trying to protect her.
Listen, I will call the police.	You call them.
Give me my baby.	Marie, put her down.
Give me my baby.	Skyler, we are not leaving without her.
Give me my baby right now! Marie! Do it now.	Give her back.
Okay, mama has you now.	Mama has you now.
How are you feeling? It's true.	The cancer's back.
I know you talked with Hank.	I know you made a deal.
Skyler, I'll make this easy.	I'll give myself up.
If you promise me one thing.	You keep the money.
Never speak of it.	Never give it up.
You pass it on to our children.	Give them everything.
It was me.	I screwed up.
The way Hank talks he's got his suspicions.	Not much else.
You can't give yourself up without giving up the money.	It's the way this works, Walt.
So maybe our best move here is to stay quiet.	Okay, you can take it off now.
Yeah, well, the product we're making, it's selling just fine.	Heisenberg's standards don't matter anymore.
You can do better, do better.	Yeah, I don't know what to tell you.
Look, I tried Heisenberg's way.	It didn't work out.
We have a problem.	You stay here.
Are you kidding me with this? Uncle Jack.	Fire in the hole.
Let's take it all.	Let's get everything.
Put the whole DEA on it.	That's how this is supposed to work, right? No.
When I go in there I'm bringing proof, not suspicions.	I can be the man who caught him.
I had to see it with my own eyes.	How you doing? Good.
I didn't know you had balls.	All right, don't make me sorry I stopped by here.
Pinkman? I'll give you this.	Jesse, you're never boring.
Not boring at all.	So come on, buddy.
Won it in a card game.	Lucky night at the casino.
That is not going to happen.	I don't even know who I'm talking to.
And finally Mr.	White tells me to cut it.
Like, total stuntman stuff.	It's like Hooper.
But he jumped out of a helicopter, not a train.	Well, whatever, man.
That's a tight operation.	It was-- it was perfect.
I'm ready for the check.	You feeling good about cooking? Yeah.
Let's make some money, then.	I gotta hit the head.
I wanna talk to you about your partner, Heisenberg.	See, I know he's my brother-in-law, Walt.
Lucky for you, I'm more interested in him.	So I got an offer.
I know you want that.	I think you wanna talk.
Keep your left up.	Detectives, I'm inviting you to leave.
I imagine Schrader shared with you his recent discovery.	Okay, well, then you get my complete lack of chill.
Just-- just make it happen.	Work your magic.
See you later.	Wait, uh Son? Junior? Hang on a second.
Yeah? Oh, good.	Come on back inside.
What happened? Oh, this? Nothing.	No, I'm fine.
Very-- very briefly.	And I did this.
But I-- I was pushing myself too hard.	I know it.
I just don't want you to worry.	I learned my lesson.
There's no reason to think I won't again.	And my doctor says I'm doing great.
No, it's past time.	Way past time.
We talked about this.	You've got to tell them now.
I live at Albuquerque, New Mexico, 87104.	This is my confession.
Skyler and I-- Welcome to Garduno's! My name's Trent.	I'll be taking care of you today.
So you here to confess? There's nothing to confess.	We're here to talk about Walter, Jr.
Flynn and Holly should be living with us.	End of story.
They need to understand.	It's in the past.
That affair of yours? Did that even happen? Please.	Look, Junior just found out that my cancer is back.
That is not a solution.	No, it's not a solution.
That is not what we're saying-- Enough with the bullshit.	You're not gonna negotiate your way out of this thing.
My name is Walter Hartwell White.	I live at Albuquerque, New Mexico, 87104.
It's what he will do if I don't back off.	I think you should show this to Ramey.
Just get ahead of it.	That video is a bunch of lies, Hank.
What was gambling money? Oh, Jesus Christ, Marie.	Oh, God, no.
Oh, Christ, Marie.	You kill me
I mean, it's the-- that's the last nail.	That's the last nail in the coffin.
I wouldn't have driven it here if it wasn't.	Um, get one of these, by the way.
Maybe it's time for a change.	What kinda change? I don't know.
Just get out of town.	Don't look back.
Saul knows a man.	He specializes in giving people new identities.
Sounds a little extreme.	But maybe it's exactly what you need.
Something you like.	Meet a girl.
Start a family, even.	Hell, you're still so damn young.
And what's here for you now anyway? I tell ya.	If I could, I'd trade places.
Just say so.	Just ask me for a favor.
I put them on it.	You wanna explain that to me? Yeah.
You gotta tell me what's going on.	Pinkman is APD's problem, not ours.
Take them off.	I said take them off.
This is it.	Once I make the call, there's no take-backs.
Uh, not hot hot, just a little hot.	Currently out on bail.
Some people are immune to good advice.	I'm gonna get a bag for this cash.
Don't even think about lighting up again.	Francesca, we got any bags? For money.
Corner of Juan Tabo and Osuna.	You, you're gonna sit and wait.
This guy's punctual with a capital P.	Okay? So don't move.
Don't get up and get an ice cream.	Just stay put like a good boy.
He'll pick you up.	You'll pay him.
He'll take your ID.	He'll give you a new one.
Back off! You, stay where you are.	What? I don't know what happened here.
18, 19, and 20.	Actually, you gave me a five, not a one.
Oh, I-- I did.	I'm-- I'm so sorry.
Um, here you go.	Thank you for your honesty.
Yeah? Nothing? - No.	Things are fine.
I like that.	Thank you very much.
Just find him.	Please leave your message.
No, same key, same locks.	The old keys have to work here, okay? - Okay.
Oh, no, no.	Um, hey, guys, guys, guys.
Well, we've made three passes already.	Like I say, gasoline's tricky.
No, no, no, no.	No, no, no, no, no.
Understand? I-- I know.	This is short notice, and I really appreciate it.
This is as good as it gets.	So, um, pump malfunction? Yeah.
The-- the metal thing.	The thing you squeeze, right? I hear a chunk.
You know, for tires.	Anyway, so that was my day.
No, the-- no.	It was the pump.
Hey, what about a hotel? A hotel.	That could be sweet.
A-- a good one.	I like the way you're thinking.
It's not my finest hour.	I'll go pack a bag.
Uh, AA meeting off the 40.	His buddies, Beaver and what's-his-name? Uh, Badger and Skinny Pete.
Yeah, no, he's not with them.	They could be covering for him.
I posed as a meter reader.	I put a bug in the tall kid's mom's place.
I'm wondering what you wanna do when he does.	Jesse is upset about the boy.
But here we are.	Checked in on Junior.
Pay-per-view and room service.	He's in heaven.
Hey, I thought you were gonna take a bath.	How's Saul doing? Saul? Goodman? I have no idea.
Were you spying on me? Yes.	And I feel just awful about it too.
I did do it.	But I did it for very good reasons.
